neighborhood,responseDow,gender,genderCount
Cedar Riverside,0,Male,62
Cedar Riverside,0,Other,8
Cedar Riverside,1,Female,12
Cedar Riverside,1,Male,48
Cedar Riverside,1,Other,11
Cedar Riverside,2,Female,7
Cedar Riverside,2,Male,56
Cedar Riverside,2,Other,24
Cedar Riverside,3,Female,6
Cedar Riverside,3,Male,45
Cedar Riverside,3,Other,12
Cedar Riverside,4,Female,7
Cedar Riverside,4,Male,64
Cedar Riverside,4,Other,12
Cedar Riverside,5,Female,12
Cedar Riverside,5,Male,57
Cedar Riverside,5,Other,16
Cedar Riverside,6,Female,4
Cedar Riverside,6,Male,31
Cedar Riverside,6,Other,16
Central,0,Female,12
Central,0,Male,32
Central,0,Other,19
Central,1,Female,16
Central,1,Male,37
Central,1,Other,16
Central,2,Female,18
Central,2,Male,35
Central,2,Other,11
Central,3,Female,16
Central,3,Male,45
Central,3,Other,18
Central,4,Female,9
Central,4,Male,30
Central,4,Other,14
Central,5,Female,19
Central,5,Male,45
Central,5,Other,27
Central,6,Female,17
Central,6,Male,38
Central,6,Other,26
Cleveland,0,Female,3
Cleveland,0,Male,14
Cleveland,0,Other,8
Cleveland,1,Female,4
Cleveland,1,Male,28
Cleveland,1,Other,7
Cleveland,2,Female,8
Cleveland,2,Male,24
Cleveland,2,Other,17
Cleveland,3,Female,13
Cleveland,3,Male,27
Cleveland,3,Other,9
Cleveland,4,Female,5
Cleveland,4,Male,24
Cleveland,4,Other,6
Cleveland,5,Female,4
Cleveland,5,Male,23
Cleveland,5,Other,11
Cleveland,6,Female,2
Cleveland,6,Male,16
Cleveland,6,Other,15
Columbia Park,0,Female,4
Columbia Park,0,Male,14
Columbia Park,0,Other,9
Columbia Park,1,Female,6
Columbia Park,1,Male,8
Columbia Park,1,Other,6
Columbia Park,2,Female,4
Columbia Park,2,Male,11
Columbia Park,2,Other,6
Columbia Park,3,Female,6
Columbia Park,3,Male,15
Columbia Park,3,Other,5
Columbia Park,4,Female,3
Columbia Park,4,Male,13
Columbia Park,4,Other,9
Columbia Park,5,Female,2
Columbia Park,5,Male,10
Columbia Park,5,Other,5
Columbia Park,6,Female,6
Columbia Park,6,Male,11
Columbia Park,6,Other,3
Como,0,Female,19
Como,0,Male,33
Como,0,Other,4
Como,1,Female,6
Como,1,Male,33
Como,1,Other,9
Como,2,Female,17
Como,2,Male,47
Como,2,Other,17
Como,3,Female,17
Como,3,Male,47
Como,3,Other,10
Como,4,Female,21
Como,4,Male,49
Como,4,Other,11
Como,5,Female,21
Como,5,Male,41
Como,5,Other,12
Como,6,Female,15
Como,6,Male,35
Como,6,Other,10
Cooper,0,Female,4
Cooper,0,Male,7
Cooper,0,Other,3
Cooper,1,Female,6
Cooper,1,Male,15
Cooper,1,Other,3
Cooper,2,Female,1
Cooper,2,Male,5
Cooper,2,Other,2
Cooper,3,Female,2
Cooper,3,Male,9
Cooper,3,Other,4
Cooper,4,Female,1
Cooper,4,Male,7
Cooper,4,Other,5
Cooper,5,Female,1
Cooper,5,Male,13
Cooper,5,Other,7
Cooper,6,Female,9
Cooper,6,Male,15
Cooper,6,Other,4
Corcoran,0,Female,6
Corcoran,0,Male,20
Corcoran,0,Other,6
Corcoran,1,Female,7
Corcoran,1,Male,25
Corcoran,1,Other,7
Corcoran,2,Female,5
Corcoran,2,Male,23
Corcoran,2,Other,14
Corcoran,3,Female,9
Corcoran,3,Male,30
Corcoran,3,Other,17
Corcoran,4,Female,3
Corcoran,4,Male,18
Corcoran,4,Other,6
Corcoran,5,Female,5
Corcoran,5,Male,29
Corcoran,5,Other,6
Corcoran,6,Female,6
Corcoran,6,Male,27
Corcoran,6,Other,13
Diamond Lake,0,Female,3
Diamond Lake,0,Male,1
Diamond Lake,0,Other,6
Diamond Lake,1,Female,2
Diamond Lake,1,Male,8
Diamond Lake,1,Other,7
Diamond Lake,2,Male,5
Diamond Lake,2,Other,7
Diamond Lake,3,Female,1
Diamond Lake,3,Male,7
Diamond Lake,3,Other,3
Diamond Lake,4,Female,1
Diamond Lake,4,Male,6
Diamond Lake,4,Other,5
Diamond Lake,5,Female,4
Diamond Lake,5,Male,8
Diamond Lake,5,Other,3
Diamond Lake,6,Male,5
Diamond Lake,6,Other,6
Downtown East,0,Female,10
Downtown East,0,Male,20
Downtown East,0,Other,7
Downtown East,1,Female,18
Downtown East,1,Male,29
Downtown East,1,Other,4
Downtown East,2,Female,15
Downtown East,2,Male,18
Downtown East,2,Other,8
Downtown East,3,Female,7
Downtown East,3,Male,14
Downtown East,3,Other,9
Downtown East,4,Female,12
Downtown East,4,Male,30
Downtown East,4,Other,13
Downtown East,5,Female,17
Downtown East,5,Male,29
Downtown East,5,Other,8
Downtown East,6,Female,5
Downtown East,6,Male,23
Downtown East,6,Other,7
Downtown West,0,Female,69
Downtown West,0,Male,294
Downtown West,0,Other,33
Downtown West,1,Female,101
Downtown West,1,Male,368
Downtown West,1,Other,26
Downtown West,2,Female,101
Downtown West,2,Male,347
Downtown West,2,Other,39
Downtown West,3,Female,96
Downtown West,3,Male,395
Downtown West,3,Other,26
Downtown West,4,Female,92
Downtown West,4,Male,360
Downtown West,4,Other,30
Downtown West,5,Female,134
Downtown West,5,Male,489
Downtown West,5,Other,45
Downtown West,6,Female,78
Downtown West,6,Male,350
Downtown West,6,Other,27
ECCO,0,Female,2
ECCO,0,Male,16
ECCO,0,Other,7
ECCO,1,Female,7
ECCO,1,Male,15
ECCO,1,Other,2
ECCO,2,Female,8
ECCO,2,Male,18
ECCO,2,Other,6
ECCO,3,Female,9
ECCO,3,Male,19
ECCO,3,Other,7
ECCO,4,Female,6
ECCO,4,Male,19
ECCO,4,Other,4
ECCO,5,Female,5
ECCO,5,Male,30
ECCO,5,Other,7
ECCO,6,Female,4
ECCO,6,Male,20
ECCO,6,Other,11
East Harriet,0,Female,3
East Harriet,0,Male,11
East Harriet,0,Other,2
East Harriet,1,Female,2
East Harriet,1,Male,14
East Harriet,1,Other,7
East Harriet,2,Female,7
East Harriet,2,Male,14
East Harriet,2,Other,3
East Harriet,3,Female,14
East Harriet,3,Male,9
East Harriet,3,Other,3
East Harriet,4,Female,12
East Harriet,4,Male,16
East Harriet,4,Other,1
East Harriet,5,Female,6
East Harriet,5,Male,8
East Harriet,5,Other,3
East Harriet,6,Female,3
East Harriet,6,Male,6
East Harriet,6,Other,4
East Isles,0,Female,8
East Isles,0,Male,22
East Isles,0,Other,2
East Isles,1,Female,12
East Isles,1,Male,26
East Isles,1,Other,6
East Isles,2,Female,11
East Isles,2,Male,20
East Isles,2,Other,2
East Isles,3,Female,18
East Isles,3,Male,43
East Isles,3,Other,2
East Isles,4,Female,13
East Isles,4,Male,25
East Isles,4,Other,6
East Isles,5,Female,10
East Isles,5,Male,37
East Isles,5,Other,4
East Isles,6,Female,6
East Isles,6,Male,30
East Isles,6,Other,4
East Phillips,0,Female,22
East Phillips,0,Male,49
East Phillips,0,Other,14
East Phillips,1,Female,34
East Phillips,1,Male,87
East Phillips,1,Other,29
East Phillips,2,Female,28
East Phillips,2,Male,73
East Phillips,2,Other,17
East Phillips,3,Female,31
East Phillips,3,Male,126
East Phillips,3,Other,23
East Phillips,4,Female,44
East Phillips,4,Male,97
East Phillips,4,Other,25
East Phillips,5,Female,41
East Phillips,5,Male,97
East Phillips,5,Other,19
East Phillips,6,Female,27
East Phillips,6,Male,69
East Phillips,6,Other,16
Elliot Park,0,Female,5
Elliot Park,0,Male,36
Elliot Park,0,Other,13
Elliot Park,1,Female,10
Elliot Park,1,Male,26
Elliot Park,1,Other,10
Elliot Park,2,Female,12
Elliot Park,2,Male,49
Elliot Park,2,Other,13
Elliot Park,3,Female,7
Elliot Park,3,Male,33
Elliot Park,3,Other,11
Elliot Park,4,Female,7
Elliot Park,4,Male,36
Elliot Park,4,Other,16
Elliot Park,5,Female,9
Elliot Park,5,Male,49
Elliot Park,5,Other,24
Elliot Park,6,Female,8
Elliot Park,6,Male,30
Elliot Park,6,Other,13
Ericsson,0,Male,8
Ericsson,0,Other,2
Ericsson,1,Female,2
Ericsson,1,Male,3
Ericsson,1,Other,6
Ericsson,2,Female,3
Ericsson,2,Male,6
Ericsson,2,Other,3
Ericsson,3,Female,1
Ericsson,3,Male,6
Ericsson,3,Other,9
Ericsson,4,Male,12
Ericsson,4,Other,5
Ericsson,5,Female,5
Ericsson,5,Male,12
Ericsson,5,Other,4
Ericsson,6,Female,3
Ericsson,6,Male,6
Ericsson,6,Other,3
Field,0,Female,1
Field,0,Male,4
Field,0,Other,5
Field,1,Female,2
Field,1,Male,6
Field,1,Other,1
Field,2,Female,3
Field,2,Male,5
Field,2,Other,2
Field,3,Male,6
Field,3,Other,4
Field,4,Male,2
Field,4,Other,2
Field,5,Female,1
Field,5,Male,8
Field,5,Other,1
Field,6,Female,3
Field,6,Male,7
Field,6,Other,2
Folwell,0,Female,9
Folwell,0,Male,39
Folwell,0,Other,30
Folwell,1,Female,19
Folwell,1,Male,76
Folwell,1,Other,19
Folwell,2,Female,24
Folwell,2,Male,103
Folwell,2,Other,22
Folwell,3,Female,32
Folwell,3,Male,139
Folwell,3,Other,27
Folwell,4,Female,35
Folwell,4,Male,87
Folwell,4,Other,19
Folwell,5,Female,31
Folwell,5,Male,108
Folwell,5,Other,34
Folwell,6,Female,28
Folwell,6,Male,66
Folwell,6,Other,19
Fulton,0,Female,1
Fulton,0,Male,5
Fulton,0,Other,4
Fulton,1,Female,5
Fulton,1,Male,5
Fulton,1,Other,5
Fulton,2,Female,5
Fulton,2,Male,7
Fulton,2,Other,2
Fulton,3,Female,12
Fulton,3,Male,13
Fulton,3,Other,7
Fulton,4,Female,5
Fulton,4,Male,10
Fulton,4,Other,4
Fulton,5,Female,2
Fulton,5,Male,8
Fulton,5,Other,6
Fulton,6,Female,2
Fulton,6,Male,4
Fulton,6,Other,4
Hale,0,Female,1
Hale,0,Male,5
Hale,0,Other,4
Hale,1,Female,2
Hale,1,Male,4
Hale,2,Female,3
Hale,2,Male,2
Hale,2,Other,3
Hale,3,Female,2
Hale,3,Male,1
Hale,3,Other,4
Hale,4,Male,2
Hale,4,Other,3
Hale,5,Female,2
Hale,5,Other,2
Hale,6,Female,1
Hale,6,Other,7
